subcategory	sample_rate	copyright	bit_depth	description	manufacturer	publisher	filename	length	channels	designer	library	category	originator
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Ghostly, Granular Flutter, Ripple	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience High 01_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Ghostly, Granular Flutter, Gritty, Slight Rattle	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience High 02_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Alien Being, Choppy, Churning, Cybernetic Movement, Dense, Ripple	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience High 03_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Churning, Eerie, Ghostly, Resonant, Shimmer	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience High 04_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Alien Being, Churning, Grainy Noise Texture, Indolent, Slight Rattle	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience High 05_RSCPC_PX.wav	00:35	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Grainy Noise Texture, Gritty, Neutral, Shape Shifting	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience High 06_RSCPC_PX.wav	00:39	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Grainy Noise Texture, Granular Flutter, Low Hum And Buzz, Shape Shifting	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience Low 01_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Haunting, Hollow, Indolent, Low Rumble	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience Low 02_RSCPC_PX.wav	00:36	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Alien Being, Eerie Detuned Atmospheric Vocalization, Flanging, Low Hum And Buzz	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience Low 03_RSCPC_PX.wav	00:35	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
MISC	96000	2023 @ Rescopic Sound	24	Atmosphere, Continuous Sequence, Choppy, Churning, Cybernetic Movement, Flanging, Granular Artifacts, Low Rumble	Rescopic Sound	www.rescopicsound.com	AMBMisc_Ambience Low 04_RSCPC_PX.wav	00:35	2	John Koulouris	Parallax	AMBIENCE	Logic Pro X
