subcategory	sample_rate	copyright	bit_depth	description	manufacturer	publisher	filename	length	channels	designer	library	category	originator
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Medium Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 01_RSCPC_SFEW.wav	00:04	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Short Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 02_RSCPC_SFEW.wav	00:02	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Short Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 03_RSCPC_SFEW.wav	00:02	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Medium Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 04_RSCPC_SFEW.wav	00:05	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Long Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 05_RSCPC_SFEW.wav	00:05	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Medium Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 06_RSCPC_SFEW.wav	00:04	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Short Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 07_RSCPC_SFEW.wav	00:01	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Medium Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 08_RSCPC_SFEW.wav	00:03	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Short Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 09_RSCPC_SFEW.wav	00:01	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
RISER	96000	2023 @ Rescopic Sound	24	Source Material, Synthetic, Rise, Sci-Fi, Power On, Activate, Start Up, Short Duration	Rescopic Sound	www.rescopicsound.com	DSGNRise_Charge Up FM 10_RSCPC_SFEW.wav	00:01	2	John Koulouris	Sci-Fi Energy Weapons	DESIGNED	Logic Pro
